Simulation ID [ ],Water Depth [m],Significant Wave Height [m],Wave Peak Period [s],Float Diameter [m],Power Takeoff Stiffness [N/m],Power Takeoff Damping [N.s/m],Expected Power Output [kW],Wave Power Transport [kW/m],Hydrodynamic Efficiency [  ],Simulation Terminal Condition
10035,80,0.5625,7.5,20,500,10000,1.66765514359466,1.16422883225373,0.0716205911326894,COMPLETE
10036,80,0.5625,7.5,20,500,100000,3.04308346740068,1.16422883225373,0.130690951086903,COMPLETE
10037,80,0.5625,7.5,20,500,1000000,12.4350515907887,1.16422883225373,0.534046711706871,COMPLETE
10038,80,0.5625,7.5,20,500,10000000,4.91532658475731,1.16422883225373,0.211097958089655,COMPLETE
10039,80,0.5625,7.5,20,500,100000000,0.499963692610349,1.16422883225373,0.0214718824495402,COMPLETE
1004,20,8.578125,7.5,10,0,100000000,6.60094432837133,270.755967801008,0.00243796817554274,COMPLETE
10040,80,0.5625,7.5,20,750,10000,0.471424257676813,1.16422883225373,0.0202462026629346,COMPLETE
10041,80,0.5625,7.5,20,750,100000,2.87701459479243,1.16422883225373,0.123558810565749,COMPLETE
10042,80,0.5625,7.5,20,750,1000000,10.6599997918942,1.16422883225373,0.45781376893314,COMPLETE
10043,80,0.5625,7.5,20,750,10000000,4.94734071818189,1.16422883225373,0.212472865347475,COMPLETE
10044,80,0.5625,7.5,20,750,100000000,0.667780486286091,1.16422883225373,0.0286790907331076,COMPLETE
10045,80,0.5625,7.5,20,1000,10000,0.922829871610952,1.16422883225373,0.039632666965674,COMPLETE
10046,80,0.5625,7.5,20,1000,100000,3.74396842860791,1.16422883225373,0.160791775847034,COMPLETE
10047,80,0.5625,7.5,20,1000,1000000,9.7663286404839,1.16422883225373,0.419433378126279,COMPLETE
10048,80,0.5625,7.5,20,1000,10000000,5.78733098153515,1.16422883225373,0.24854782930998,COMPLETE
10049,80,0.5625,7.5,20,1000,100000000,0.530214687843509,1.16422883225373,0.0227710684168984,COMPLETE
1005,20,8.578125,7.5,10,250,10000,58.8209531513832,270.755967801008,0.0217247116025209,COMPLETE
10050,80,0.5625,7.5,30,0,10000,0.824698713307048,1.16422883225373,0.0236121596963198,COMPLETE
10051,80,0.5625,7.5,30,0,100000,3.33312559188421,1.16422883225373,0.0954315709404511,COMPLETE
10052,80,0.5625,7.5,30,0,1000000,14.5312185811581,1.16422883225373,0.416047034127829,COMPLETE
10053,80,0.5625,7.5,30,0,10000000,15.4160089465432,1.16422883225373,0.441379693277329,COMPLETE
10054,80,0.5625,7.5,30,0,100000000,2.29485322115768,1.16422883225373,0.0657045292580861,COMPLETE
10055,80,0.5625,7.5,30,250,10000,0.262369378953174,1.16422883225373,0.00751196476398532,COMPLETE
10056,80,0.5625,7.5,30,250,100000,5.50187132644654,1.16422883225373,0.157525484510233,COMPLETE
10057,80,0.5625,7.5,30,250,1000000,13.6068005675368,1.16422883225373,0.389579785650805,COMPLETE
10058,80,0.5625,7.5,30,250,10000000,16.1093325864915,1.16422883225373,0.461230419662053,COMPLETE
10059,80,0.5625,7.5,30,250,100000000,1.87049520420098,1.16422883225373,0.0535546263867518,COMPLETE
1006,20,8.578125,7.5,10,250,100000,373.305093100575,270.755967801008,0.137875111722352,COMPLETE
10060,80,0.5625,7.5,30,500,10000,0.996713738727427,1.16422883225373,0.0285371658650638,COMPLETE
10061,80,0.5625,7.5,30,500,100000,1.88992351038284,1.16422883225373,0.0541108831879239,COMPLETE
10062,80,0.5625,7.5,30,500,1000000,15.4864214224801,1.16422883225373,0.443395690876947,COMPLETE
10063,80,0.5625,7.5,30,500,10000000,18.7934768051906,1.16422883225373,0.538080838993653,COMPLETE
