Simulation ID [ ],Water Depth [m],Significant Wave Height [m],Wave Peak Period [s],Float Diameter [m],Power Takeoff Stiffness [N/m],Power Takeoff Damping [N.s/m],Expected Power Output [kW],Wave Power Transport (deep water) [kW/m],Hydrodynamic Efficiency (deep water) [ ],Simulation Terminal Condition
1691,20,15.25,10,30,750,100000,657.452542010876,1140.96341986927,0.0192075261590831,COMPLETE
16910,50,0.765625,8.75,15,375,500000,8.88151719468082,2.51635725098874,0.235300908120023,COMPLETE
16911,50,0.765625,8.75,15,375,5000000,7.53496259560038,2.51635725098874,0.199626201529737,COMPLETE
16912,50,0.765625,8.75,15,375,50000000,1.0101440612357,2.51635725098874,0.0267620733857454,COMPLETE
16913,50,0.765625,8.75,15,625,50000,3.29216830655488,2.51635725098874,0.0872204799288416,COMPLETE
16914,50,0.765625,8.75,15,625,500000,9.01241837323414,2.51635725098874,0.238768915388648,COMPLETE
16915,50,0.765625,8.75,15,625,5000000,7.92804449181837,2.51635725098874,0.210040247364273,COMPLETE
16916,50,0.765625,8.75,15,625,50000000,0.637417497320568,2.51635725098874,0.0168873079546531,COMPLETE
16917,50,0.765625,8.75,15,875,50000,2.54459681892349,2.51635725098874,0.0674148266751778,COMPLETE
16918,50,0.765625,8.75,15,875,500000,8.37162053706824,2.51635725098874,0.22179205102346,COMPLETE
16919,50,0.765625,8.75,15,875,5000000,7.16384897602107,2.51635725098874,0.189794168354704,COMPLETE
1692,20,15.25,10,30,750,1000000,4456.0713261574,1140.96341986927,0.130184463660485,COMPLETE
16920,50,0.765625,8.75,15,875,50000000,0.5550423522664,2.51635725098874,0.0147049165892034,COMPLETE
16921,50,0.765625,8.75,25,125,50000,7.17018848827386,2.51635725098874,0.113977273862151,COMPLETE
16922,50,0.765625,8.75,25,125,500000,15.5523483219957,2.51635725098874,0.247220037073588,COMPLETE
16923,50,0.765625,8.75,25,125,5000000,36.9304264505133,2.51635725098874,0.587045840744631,COMPLETE
16924,50,0.765625,8.75,25,125,50000000,8.1614767897101,2.51635725098874,0.129734786847189,COMPLETE
16925,50,0.765625,8.75,25,375,50000,1.93596058237606,2.51635725098874,0.0307740179835812,COMPLETE
16926,50,0.765625,8.75,25,375,500000,13.0926217039645,2.51635725098874,0.208120237280617,COMPLETE
16927,50,0.765625,8.75,25,375,5000000,38.8260467413667,2.51635725098874,0.617178609692419,COMPLETE
16928,50,0.765625,8.75,25,375,50000000,6.46765898745391,2.51635725098874,0.102809869066288,COMPLETE
16929,50,0.765625,8.75,25,625,50000,4.81581313965798,2.51635725098874,0.0765521372255982,COMPLETE
1693,20,15.25,10,30,750,10000000,5678.38330376267,1140.96341986927,0.16589440131257,COMPLETE
16930,50,0.765625,8.75,25,625,500000,13.1298827303063,2.51635725098874,0.208712538335281,COMPLETE
16931,50,0.765625,8.75,25,625,5000000,29.7637616164221,2.51635725098874,0.473124578868555,COMPLETE
16932,50,0.765625,8.75,25,625,50000000,7.19664264428852,2.51635725098874,0.114397788969921,COMPLETE
16933,50,0.765625,8.75,25,875,50000,2.14980506026128,2.51635725098874,0.0341732885410696,COMPLETE
16934,50,0.765625,8.75,25,875,500000,13.6486891705352,2.51635725098874,0.216959482445067,COMPLETE
16935,50,0.765625,8.75,25,875,5000000,32.4275978827881,2.51635725098874,0.515468904425974,COMPLETE
16936,50,0.765625,8.75,25,875,50000000,6.78885699365359,2.51635725098874,0.107915630675828,COMPLETE
16937,50,0.765625,8.75,35,125,50000,1.57876378710399,2.51635725098874,0.0179257284539688,COMPLETE
16938,50,0.765625,8.75,35,125,500000,12.6370009216129,2.51635725098874,0.143484065725196,COMPLETE
16939,50,0.765625,8.75,35,125,5000000,52.6650831136947,2.51635725098874,0.597974178666418,COMPLETE
1694,20,15.25,10,30,750,100000000,744.350458205174,1140.96341986927,0.0217462554084472,COMPLETE
16940,50,0.765625,8.75,35,125,50000000,20.7739976941153,2.51635725098874,0.23587381760965,COMPLETE
16941,50,0.765625,8.75,35,375,50000,2.08431310258465,2.51635725098874,0.023665877691886,COMPLETE
16942,50,0.765625,8.75,35,375,500000,12.2577931752281,2.51635725098874,0.139178434227399,COMPLETE
16943,50,0.765625,8.75,35,375,5000000,50.8271321230687,2.51635725098874,0.577105565743581,COMPLETE
16944,50,0.765625,8.75,35,375,50000000,22.5133472053242,2.51635725098874,0.255622881579294,COMPLETE
16945,50,0.765625,8.75,35,625,50000,3.79293948340571,2.51635725098874,0.043066102590678,COMPLETE
16946,50,0.765625,8.75,35,625,500000,15.3995082564656,2.51635725098874,0.174850351639001,COMPLETE
16947,50,0.765625,8.75,35,625,5000000,38.6480571822875,2.51635725098874,0.438820920508936,COMPLETE
16948,50,0.765625,8.75,35,625,50000000,29.8631825064773,2.51635725098874,0.339074980535492,COMPLETE
16949,50,0.765625,8.75,35,875,50000,3.60577674544593,2.51635725098874,0.0409410041783799,COMPLETE
1695,20,15.25,10,30,1000,10000,66.6560937897879,1140.96341986927,0.00194736286396238,COMPLETE
16950,50,0.765625,8.75,35,875,500000,11.38537397069,2.51635725098874,0.129272740996833,COMPLETE
16951,50,0.765625,8.75,35,875,5000000,50.8148764763516,2.51635725098874,0.576966411680844,COMPLETE
16952,50,0.765625,8.75,35,875,50000000,22.6503189438421,2.51635725098874,0.257178097255379,COMPLETE
16953,50,0.765625,8.75,45,125,50000,1.35986138223546,2.51635725098874,0.0120090825003408,COMPLETE
16954,50,0.765625,8.75,45,125,500000,7.1980701624757,2.51635725098874,0.063566933772552,COMPLETE
16955,50,0.765625,8.75,45,125,5000000,55.0919735555176,2.51635725098874,0.486523159034933,COMPLETE
16956,50,0.765625,8.75,45,125,50000000,50.5597002389909,2.51635725098874,0.446498164661765,COMPLETE
